,Actual Load
2022-01-06 01:30:00+01:00,54090.0
2022-01-06 01:45:00+01:00,53608.0
2022-01-06 02:00:00+01:00,53180.0
2022-01-06 02:15:00+01:00,53217.0
2022-01-06 02:30:00+01:00,52955.0
2022-01-06 02:45:00+01:00,52911.0
2022-01-06 03:00:00+01:00,52554.0
2022-01-06 03:15:00+01:00,52612.0
2022-01-06 03:30:00+01:00,52601.0
2022-01-06 03:45:00+01:00,52514.0
2022-01-06 04:00:00+01:00,52631.0
2022-01-06 04:15:00+01:00,52987.0
2022-01-06 04:30:00+01:00,53522.0
2022-01-06 04:45:00+01:00,53656.0
2022-01-06 05:00:00+01:00,54244.0
2022-01-06 05:15:00+01:00,54457.0
2022-01-06 05:30:00+01:00,54975.0
2022-01-06 05:45:00+01:00,55771.0
2022-01-06 06:00:00+01:00,57044.0
2022-01-06 06:15:00+01:00,58084.0
2022-01-06 06:30:00+01:00,59160.0
2022-01-06 06:45:00+01:00,59985.0
2022-01-06 07:00:00+01:00,61346.0
2022-01-06 07:15:00+01:00,62647.0
2022-01-06 07:30:00+01:00,63685.0
2022-01-06 07:45:00+01:00,64438.0
2022-01-06 08:00:00+01:00,64924.0
2022-01-06 08:15:00+01:00,65122.0
2022-01-06 08:30:00+01:00,65283.0
2022-01-06 08:45:00+01:00,65681.0
2022-01-06 09:00:00+01:00,65849.0
2022-01-06 09:15:00+01:00,66199.0
2022-01-06 09:30:00+01:00,66455.0
2022-01-06 09:45:00+01:00,66649.0
2022-01-06 10:00:00+01:00,66606.0
2022-01-06 10:15:00+01:00,66643.0
2022-01-06 10:30:00+01:00,66896.0
2022-01-06 10:45:00+01:00,66901.0
2022-01-06 11:00:00+01:00,66892.0
2022-01-06 11:15:00+01:00,67349.0
2022-01-06 11:30:00+01:00,67620.0
2022-01-06 11:45:00+01:00,67404.0
2022-01-06 12:00:00+01:00,67127.0
2022-01-06 12:15:00+01:00,66959.0
2022-01-06 12:30:00+01:00,66495.0
2022-01-06 12:45:00+01:00,66077.0
2022-01-06 13:00:00+01:00,66028.0
2022-01-06 13:15:00+01:00,65554.0
2022-01-06 13:30:00+01:00,65010.0
2022-01-06 13:45:00+01:00,64319.0
2022-01-06 14:00:00+01:00,64136.0
2022-01-06 14:15:00+01:00,63914.0
2022-01-06 14:30:00+01:00,63726.0
2022-01-06 14:45:00+01:00,63572.0
2022-01-06 15:00:00+01:00,63471.0
2022-01-06 15:15:00+01:00,63465.0
2022-01-06 15:30:00+01:00,63267.0
2022-01-06 15:45:00+01:00,63229.0
2022-01-06 16:00:00+01:00,63632.0
2022-01-06 16:15:00+01:00,64033.0
2022-01-06 16:30:00+01:00,64775.0
2022-01-06 16:45:00+01:00,65978.0
2022-01-06 17:00:00+01:00,67411.0
2022-01-06 17:15:00+01:00,68261.0
2022-01-06 17:30:00+01:00,68843.0
2022-01-06 17:45:00+01:00,69120.0
2022-01-06 18:00:00+01:00,68922.0
2022-01-06 18:15:00+01:00,68942.0
2022-01-06 18:30:00+01:00,68964.0
2022-01-06 18:45:00+01:00,68621.0
2022-01-06 19:00:00+01:00,68260.0
2022-01-06 19:15:00+01:00,68079.0
2022-01-06 19:30:00+01:00,67799.0
2022-01-06 19:45:00+01:00,67143.0
2022-01-06 20:00:00+01:00,66511.0
2022-01-06 20:15:00+01:00,65796.0
2022-01-06 20:30:00+01:00,64745.0
2022-01-06 20:45:00+01:00,64043.0
2022-01-06 21:00:00+01:00,63488.0
2022-01-06 21:15:00+01:00,62711.0
2022-01-06 21:30:00+01:00,62051.0
2022-01-06 21:45:00+01:00,61224.0
2022-01-06 22:00:00+01:00,61437.0
2022-01-06 22:15:00+01:00,61219.0
2022-01-06 22:30:00+01:00,60136.0
2022-01-06 22:45:00+01:00,59357.0
2022-01-06 23:00:00+01:00,58734.0
2022-01-06 23:15:00+01:00,58106.0
2022-01-06 23:30:00+01:00,57470.0
2022-01-06 23:45:00+01:00,56704.0
