,Forecasted Load
2022-01-04 21:00:00+01:00,64364.0
2022-01-04 21:15:00+01:00,63924.0
2022-01-04 21:30:00+01:00,63191.0
2022-01-04 21:45:00+01:00,62565.0
2022-01-04 22:00:00+01:00,62418.0
2022-01-04 22:15:00+01:00,61823.0
2022-01-04 22:30:00+01:00,60813.0
2022-01-04 22:45:00+01:00,59922.0
2022-01-04 23:00:00+01:00,58630.0
2022-01-04 23:15:00+01:00,57831.0
2022-01-04 23:30:00+01:00,57101.0
2022-01-04 23:45:00+01:00,56572.0
2022-01-05 00:00:00+01:00,55357.0
2022-01-05 00:15:00+01:00,54723.0
2022-01-05 00:30:00+01:00,54207.0
2022-01-05 00:45:00+01:00,53692.0
2022-01-05 01:00:00+01:00,53412.0
2022-01-05 01:15:00+01:00,53145.0
2022-01-05 01:30:00+01:00,52927.0
2022-01-05 01:45:00+01:00,52925.0
2022-01-05 02:00:00+01:00,52803.0
2022-01-05 02:15:00+01:00,52808.0
2022-01-05 02:30:00+01:00,52754.0
2022-01-05 02:45:00+01:00,52746.0
2022-01-05 03:00:00+01:00,52757.0
2022-01-05 03:15:00+01:00,52977.0
2022-01-05 03:30:00+01:00,53238.0
2022-01-05 03:45:00+01:00,53368.0
2022-01-05 04:00:00+01:00,53288.0
2022-01-05 04:15:00+01:00,53234.0
2022-01-05 04:30:00+01:00,53718.0
2022-01-05 04:45:00+01:00,54216.0
2022-01-05 05:00:00+01:00,54737.0
2022-01-05 05:15:00+01:00,55263.0
2022-01-05 05:30:00+01:00,55997.0
2022-01-05 05:45:00+01:00,56858.0
2022-01-05 06:00:00+01:00,58240.0
2022-01-05 06:15:00+01:00,59433.0
2022-01-05 06:30:00+01:00,60508.0
2022-01-05 06:45:00+01:00,61457.0
2022-01-05 07:00:00+01:00,62453.0
2022-01-05 07:15:00+01:00,65608.0
2022-01-05 07:30:00+01:00,66559.0
2022-01-05 07:45:00+01:00,67567.0
2022-01-05 08:00:00+01:00,69255.0
2022-01-05 08:15:00+01:00,69115.0
2022-01-05 08:30:00+01:00,69610.0
2022-01-05 08:45:00+01:00,69965.0
